"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_UNO_R2","","","","custom_lib:Arduino_UNO_R2","https://www.arduino.cc/en/Main/arduinoBoardUno"
"C1,C4","2","100 nF","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C3","1","220 uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"J1","1","Module1","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J2","1","Module2","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J3","1","Module3","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J4","1","buttons","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"J5","1","Display","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
"J6","1","Display","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~"
"J7","1","DC_in_outout","","","","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","~"
"R1,R3","2","3K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","1","68","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4,R5","2","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RN1","1","4K7","","","","Resistor_THT:R_Array_SIP10","http://www.vishay.com/docs/31509/csc.pdf"
"RV2","1","10K","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1","1","4052","","","","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf"
"U3,U4","2","L7805","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
